"ID","Comune","ID Provincia","ID Regione","Codice Catastale","Coordinate Nord","Coordinate Est","Coordinate Dec Nord","Coordinate Dec Est"
"55","Navelli","45","2","F852","42,14,21","13,43,46","42.23916666666667","13.729444444444445"
"56","Ocre","45","2","F996","42,17,12","13,28,32","42.28666666666666","13.475555555555555"
"57","Ofena","45","2","G002","42,19,40","13,45,34","42.32777777777778","13.759444444444444"
"58","Opi","45","2","C346","41,46,57","13,49,49","41.7825","13.830277777777777"
"59","Oricola","45","2","G102","42,3,1","13,2,27","42.05027777777777","13.040833333333333"
"60","Ortona Dei Marsi","45","2","G142","41,59,56","13,43,43","41.99888888888889","13.72861111111111"
"61","Ortucchio","45","2","G145","41,57,21","13,38,42","41.95583333333334","13.645"
"62","Ovindoli","45","2","G200","42,8,9","13,30,53","42.13583333333333","13.514722222222222"
"63","Pacentro","45","2","G210","42,3,8","13,59,38","42.05222222222222","13.993888888888888"
"64","Pereto","45","2","G449","42,3,38","13,6,5","42.06055555555555","13.101388888888888"
"65","Pescasseroli","45","2","G484","41,48,40","13,47,22","41.81111111111111","13.789444444444444"
"66","Pescina","45","2","G492","42,1,41","13,39,48","42.028055555555554","13.663333333333334"
"67","Pescocostanzo","45","2","G493","41,53,26","14,3,55","41.89055555555556","14.065277777777778"
"68","Pettorano Sul Gizio","45","2","G524","41,58,32","13,57,39","41.97555555555556","13.960833333333333"
"69","Pizzoli","45","2","G726","42,26,17","13,17,44","42.43805555555555","13.295555555555556"
"70","Poggio Picenze","45","2","G766","42,19,19","13,32,24","42.32194444444445","13.54"
"71","Pratola Peligna","45","2","H007","42,6,1","13,52,34","42.10027777777778","13.876111111111111"
"72","Prezza","45","2","H056","42,3,33","13,50,11","42.05916666666666","13.836388888888889"
"73","Raiano","45","2","G976","42,6,13","13,48,49","42.103611111111114","13.813611111111111"
"74","Rivisondoli","45","2","H353","41,52,17","14,4,5","41.87138888888889","14.068055555555555"
"75","Rocca Di Botte","45","2","H399","42,1,39","13,4,5","42.027499999999996","13.068055555555555"
"76","Rocca Di Cambio","45","2","H400","42,14,12","13,29,20","42.236666666666665","13.488888888888889"
"77","Rocca Di Mezzo","45","2","H402","42,12,22","13,31,22","42.20611111111111","13.522777777777778"
"78","Rocca Pia","45","2","H429","41,56,2","13,58,39","41.93388888888889","13.977500000000001"
"79","Roccacasale","45","2","H389","42,7,33","13,53,13","42.12583333333333","13.886944444444444"
"80","Roccaraso","45","2","H434","41,50,56","14,4,50","41.848888888888894","14.080555555555556"
"81","San Benedetto Dei Marsi","45","2","H772","42,0,24","13,37,28","42.00666666666667","13.624444444444444"
"82","San Benedetto In Perillis","45","2","H773","42,11,6","13,46,18","42.184999999999995","13.771666666666668"
"83","San Pio Delle Camere","45","2","I121","42,17,13","13,39,28","42.286944444444444","13.657777777777778"
"84","San Vincenzo Valle Roveto","45","2","I389","41,50,4","13,31,27","41.83444444444444","13.524166666666668"
"85","Sante Marie","45","2","I326","42,6,11","13,12,27","42.10305555555556","13.2075"
"86","Santo Stefano Di Sessanio","45","2","I360","42,20,41","13,38,41","42.344722222222224","13.64472222222222"
"87","Scanno","45","2","I501","41,54,17","13,52,58","41.90472222222222","13.882777777777779"
"88","Scontrone","45","2","I543","41,44,51","14,2,25","41.7475","14.040277777777778"
"89","Scoppito","45","2","I546","42,22,27","13,15,21","42.37416666666667","13.255833333333333"
"90","Scurcola Marsicana","45","2","I553","42,3,59","13,20,34","42.06638888888889","13.342777777777778"
"91","Secinaro","45","2","I558","42,9,24","13,40,47","42.156666666666666","13.679722222222221"
"92","Sulmona","45","2","I804","42,3,1","13,55,29","42.05027777777777","13.924722222222222"
"93","Tagliacozzo","45","2","L025","42,4,13","13,15,6","42.07027777777778","13.251666666666667"
"94","Tione Degli Abruzzi","45","2","L173","42,12,18","13,38,6","42.205000000000005","13.635"
"95","Tornimparte","45","2","L227","42,17,26","13,18,7","42.29055555555556","13.301944444444445"
"96","Trasacco","45","2","L334","41,57,37","13,32,26","41.96027777777778","13.540555555555555"
"97","Villa Santa Lucia Degli Abruzzi","45","2","M021","42,20,0","13,46,35","42.333333333333336","13.77638888888889"
"98","Villalago","45","2","L958","41,56,13","13,50,14","41.93694444444444","13.837222222222223"
"99","Villavallelonga","45","2","M031","41,52,5","13,37,32","41.86805555555556","13.625555555555556"
"100","Villetta Barrea","45","2","M041","41,46,40","13,56,8","41.77777777777778","13.935555555555556"
"101","Vittorito","45","2","M090","42,7,32","13,48,59","42.12555555555556","13.81638888888889"
"102","Altino","44","2","A235","42,6,13","14,19,53","42.103611111111114","14.331388888888888"
"103","Archi","44","2","A367","42,5,24","14,22,58","42.09","14.382777777777779"
"104","Ari","44","2","A005","42,17,33","14,15,40","42.2925","14.261111111111111"
"105","Arielli","44","2","A402","42,15,51","14,18,26","42.26416666666667","14.307222222222222"
"106","Atessa","44","2","A485","42,4,6","14,26,48","42.068333333333335","14.446666666666667"
"107","Bomba","44","2","A956","42,2,10","14,21,59","42.03611111111111","14.366388888888888"
"108","Borrello","44","2","B057","41,55,13","14,18,21","41.92027777777778","14.305833333333334"
"109","Bucchianico","44","2","B238","42,18,22","14,10,55","42.30611111111111","14.181944444444444"
"110","Canosa Sannita","44","2","B620","42,17,48","14,18,11","42.29666666666667","14.303055555555556"
"111","Carpineto Sinello","44","2","B826","42,0,40","14,30,18","42.01111111111111","14.505"
"112","Carunchio","44","2","B853","41,55,10","14,31,32","41.919444444444444","14.525555555555556"
"113","Casacanditella","44","2","B859","42,14,59","14,11,56","42.249722222222225","14.19888888888889"
"114","Casalanguida","44","2","B861","42,2,15","14,29,56","42.0375","14.498888888888889"
"115","Casalbordino","44","2","B865","42,9,8","14,35,4","42.15222222222222","14.584444444444445"
"116","Casalincontrada","44","2","B896","42,17,30","14,8,5","42.291666666666664","14.134722222222221"
"117","Casoli","44","2","B985","42,7,11","14,17,34","42.11972222222222","14.292777777777777"
"118","Castel Frentano","44","2","C114","42,12,3","14,21,24","42.200833333333335","14.356666666666666"
"119","Castelguidone","44","2","C123","41,49,28","14,31,26","41.824444444444445","14.523888888888889"
"120","Castiglione Messer Marino","44","2","C298","41,52,6","14,27,3","41.86833333333333","14.450833333333332"
"121","Celenza Sul Trigno","44","2","C428","41,52,16","14,34,55","41.87111111111111","14.581944444444444"
"122","Chieti","44","2","C632","42,21,7","14,10,5","42.35194444444445","14.168055555555554"
"123","Civitaluparella","44","2","C768","41,56,48","14,18,14","41.946666666666665","14.30388888888889"
"124","Civitella Messer Raimondo","44","2","C776","42,5,24","14,13,2","42.09","14.217222222222222"
"125","Colledimacine","44","2","C855","42,0,24","14,12,8","42.00666666666667","14.202222222222222"
"126","Colledimezzo","44","2","C856","41,59,11","14,22,52","41.98638888888889","14.381111111111112"
"127","Crecchio","44","2","D137","42,17,57","14,19,38","42.299166666666665","14.327222222222222"
"128","Cupello","44","2","D209","42,4,27","14,40,25","42.07416666666667","14.67361111111111"
"129","Dogliola","44","2","D315","41,56,34","14,38,12","41.94277777777778","14.636666666666667"
"130","Fallo","44","2","D480","41,56,21","14,19,26","41.939166666666665","14.323888888888888"
"131","Fara Filiorum Petri","44","2","D494","42,15,1","14,11,9","42.250277777777775","14.185833333333333"
"132","Fara San Martino","44","2","D495","42,5,32","14,12,18","42.092222222222226","14.205"
"133","Filetto","44","2","D592","42,13,43","14,14,44","42.228611111111114","14.245555555555555"
"134","Fossacesia","44","2","D738","42,14,50","14,28,48","42.24722222222222","14.48"
"135","Fraine","44","2","D757","41,54,28","14,29,15","41.907777777777774","14.487499999999999"
"136","Francavilla Al Mare","44","2","D763","42,25,7","14,17,27","42.41861111111111","14.290833333333333"
"137","Fresagrandinaria","44","2","D796","41,58,37","14,39,54","41.97694444444445","14.665000000000001"
"138","Frisa","44","2","D803","42,15,45","14,22,15","42.2625","14.370833333333334"
"139","Furci","44","2","D823","42,0,33","14,35,20","42.009166666666665","14.58888888888889"
"140","Gamberale","44","2","D898","41,54,24","14,12,37","41.906666666666666","14.210277777777778"
"141","Gessopalena","44","2","D996","42,3,30","14,16,21","42.05833333333333","14.2725"
"142","Gissi","44","2","E052","42,1,21","14,32,50","42.0225","14.547222222222222"
"143","Giuliano Teatino","44","2","E056","42,17,41","14,16,34","42.29472222222222","14.276111111111112"
"144","Guardiagrele","44","2","E243","42,11,31","14,13,21","42.19194444444444","14.2225"
"145","Guilmi","44","2","E266","41,59,51","14,28,38","41.9975","14.477222222222222"
"146","Lama Dei Peligni","44","2","E424","42,2,37","14,11,16","42.04361111111111","14.187777777777779"
"147","Lanciano","44","2","E435","42,13,54","14,23,23","42.23166666666667","14.389722222222222"
"148","Lentella","44","2","E531","41,59,54","14,40,39","41.998333333333335","14.6775"
"149","Lettopalena","44","2","E559","42,0,16","14,9,36","42.004444444444445","14.16"
"150","Liscia","44","2","E611","41,57,20","14,33,28","41.955555555555556","14.557777777777778"
"151","Miglianico","44","2","F196","42,21,39","14,17,31","42.36083333333333","14.291944444444445"
"152","Montazzoli","44","2","F433","41,56,58","14,25,51","41.94944444444444","14.430833333333332"
"153","Montebello Sul Sangro","44","2","B268","41,59,13","14,19,35","41.98694444444445","14.32638888888889"
"154","Monteferrante","44","2","F498","41,57,17","14,23,22","41.95472222222222","14.389444444444443"
"155","Montelapiano","44","2","F535","41,57,50","14,20,32","41.96388888888889","14.342222222222222"
"156","Montenerodomo","44","2","F578","41,58,44","14,15,11","41.97888888888889","14.253055555555555"
"157","Monteodorisio","44","2","F582","42,5,19","14,39,12","42.08861111111111","14.653333333333334"
"158","Mozzagrogna","44","2","F785","42,12,44","14,25,29","42.21222222222222","14.424722222222222"
"159","Orsogna","44","2","G128","42,13,15","14,17,1","42.22083333333334","14.28361111111111"
"160","Ortona","44","2","A813","42,21,30","14,24,17","42.358333333333334","14.404722222222222"
"161","Paglieta","44","2","G237","42,10,1","14,29,56","42.16694444444444","14.498888888888889"
"162","Palena","44","2","D996","41,59,6","14,8,19","41.985","14.13861111111111"
"163","Palmoli","44","2","G290","41,56,21","14,34,52","41.939166666666665","14.581111111111111"
"164","Palombaro","44","2","G294","42,7,39","14,13,55","42.1275","14.231944444444444"
"165","Pennadomo","44","2","G434","42,0,23","14,19,33","42.006388888888885","14.325833333333334"
"166","Pennapiedimonte","44","2","G435","42,9,10","14,11,41","42.15277777777778","14.194722222222222"
"167","Perano","44","2","G441","42,6,29","14,23,52","42.10805555555556","14.397777777777778"
"168","Pietraferrazzana","44","2","G613","41,58,13","14,22,29","41.97027777777778","14.374722222222223"
"169","Pizzoferrato","44","2","G724","41,55,23","14,14,17","41.92305555555555","14.238055555555555"
"170","Poggiofiorito","44","2","G760","42,15,24","14,19,24","42.25666666666667","14.323333333333332"
"171","Pollutri","44","2","G799","42,8,19","14,35,45","42.13861111111111","14.595833333333333"
"172","Pretoro","44","2","H052","42,13,3","14,8,33","42.2175","14.1425"
"173","Quadri","44","2","H098","41,55,32","14,17,22","41.925555555555555","14.289444444444444"
"174","Rapino","44","2","H184","42,12,43","14,11,15","42.21194444444445","14.1875"
"175","Ripa Teatina","44","2","H320","42,21,34","14,14,5","42.35944444444445","14.23472222222222"
"176","Rocca San Giovanni","44","2","H439","42,15,11","14,27,58","42.253055555555555","14.466111111111111"
"177","Roccamontepiano","44","2","H424","42,14,42","14,7,38","42.245","14.127222222222223"
"178","Roccascalegna","44","2","H442","42,3,47","14,18,23","42.06305555555555","14.30638888888889"
"179","Roccaspinalveti","44","2","H448","41,56,18","14,28,18","41.93833333333333","14.471666666666668"
"180","Roio Del Sangro","44","2","H495","41,54,50","14,22,21","41.913888888888884","14.3725"
"181","Rosello","44","2","H566","41,54,11","14,21,1","41.903055555555554","14.350277777777777"
"182","San Buono","44","2","H784","41,58,54","14,34,16","41.98166666666667","14.571111111111112"
"183","San Giovanni Lipioni","44","2","H923","41,50,37","14,33,43","41.843611111111116","14.561944444444444"
"184","San Giovanni Teatino","44","2","D690","42,25,23","14,11,18","42.42305555555555","14.188333333333334"
"185","San Martino Sulla Marrucina","44","2","H991","42,13,34","14,12,53","42.226111111111116","14.214722222222221"
"186","San Salvo","44","2","I148","42,2,50","14,43,47","42.04722222222222","14.729722222222222"
"187","San Vito Chietino","44","2","I394","42,18,14","14,26,49","42.303888888888885","14.446944444444444"
"188","Santa Maria Imbaro","44","2","I244","42,13,8","14,26,59","42.21888888888889","14.449722222222222"
"189","Scerni","44","2","I520","42,6,48","14,34,12","42.11333333333334","14.57"
"190","Schiavi Di Abruzzo","44","2","I526","41,49,1","14,29,8","41.816944444444445","14.485555555555555"
"191","Taranta Peligna","44","2","L047","42,1,17","14,10,20","42.021388888888886","14.172222222222222"
"192","Tollo","44","2","B040","42,20,28","14,19,11","42.34111111111111","14.319722222222222"
"193","Torino Di Sangro","44","2","L218","42,11,22","14,32,26","42.18944444444444","14.540555555555555"
"194","Tornareccio","44","2","L224","42,2,26","14,24,45","42.04055555555556","14.4125"
"195","Torrebruna","44","2","L253","41,52,6","14,32,31","41.86833333333333","14.541944444444445"
"196","Torrevecchia Teatina","44","2","L284","42,22,47","14,13,24","42.37972222222222","14.223333333333333"
"197","Torricella Peligna","44","2","L291","42,1,36","14,15,37","42.026666666666664","14.260277777777778"
"198","Treglio","44","2","L363","42,16,1","14,25,33","42.26694444444444","14.425833333333333"
"199","Tufillo","44","2","L459","41,55,3","14,37,36","41.9175","14.626666666666667"
"200","Vacri","44","2","L526","42,17,53","14,13,57","42.29805555555556","14.2325"
"201","Vasto","44","2","E372","42,6,44","14,42,37","42.11222222222222","14.710277777777778"
"202","Villa Santa Maria","44","2","M022","41,57,2","14,21,5","41.95055555555556","14.351388888888888"
"203","Villalfonsina","44","2","L961","42,9,50","14,34,20","42.163888888888884","14.572222222222223"
"204","Villamagna","44","2","L964","42,20,2","14,14,12","42.33388888888889","14.236666666666666"
"205","Abbateggio","46","2","A008","42,13,34","14,0,47","42.226111111111116","14.013055555555555"
"206","Alanno","46","2","A120","42,17,42","13,58,11","42.294999999999995","13.969722222222222"
"207","Bolognano","46","2","A945","42,13,12","13,57,41","42.22","13.961388888888887"
"208","Brittoli","46","2","B193","42,19,7","13,51,45","42.31861111111112","13.862499999999999"
"209","Bussi Sul Tirino","46","2","B294","42,12,45","13,49,46","42.212500000000006","13.829444444444444"
"210","Cappelle Sul Tavo","46","2","B681","42,27,59","14,6,12","42.46638888888889","14.103333333333333"
"211","Caramanico Terme","46","2","B722","42,9,34","14,0,3","42.159444444444446","14.000833333333333"
"212","Carpineto Della Nora","46","2","B827","42,20,0","13,51,44","42.333333333333336","13.862222222222222"
"213","Castiglione A Casauria","46","2","C308","42,14,12","13,53,51","42.236666666666665","13.897499999999999"
"214","Catignano","46","2","C354","42,20,49","13,57,1","42.346944444444446","13.950277777777776"
"215","Cepagatti","46","2","C474","42,21,52","14,4,19","42.364444444444445","14.071944444444444"
"216","Civitaquana","46","2","C771","42,19,33","13,54,2","42.325833333333335","13.900555555555556"
"217","Civitella Casanova","46","2","C779","42,21,58","13,53,22","42.36611111111111","13.889444444444443"
"218","Collecorvino","46","2","C853","42,27,35","14,0,53","42.459722222222226","14.014722222222222"
"219","Corvara","46","2","D078","42,16,33","13,52,27","42.27583333333333","13.874166666666667"
"220","Cugnoli","46","2","D201","42,18,36","13,56,5","42.309999999999995","13.934722222222222"
"221","Elice","46","2","A696","42,31,10","13,58,9","42.519444444444446","13.969166666666666"
"222","Farindola","46","2","D501","42,26,30","13,49,27","42.44166666666666","13.824166666666667"
"223","Lettomanoppello","46","2","E558","42,14,15","14,2,15","42.237500000000004","14.0375"
"224","Loreto Aprutino","46","2","E691","42,26,4","13,59,18","42.43444444444444","13.988333333333333"
"225","Manoppello","46","2","E558","42,15,32","14,3,37","42.25888888888889","14.06027777777778"
"226","Montebello Di Bertona","46","2","F441","42,25,6","13,52,18","42.41833333333333","13.871666666666668"
"227","Montesilvano","46","2","F646","42,30,50","14,9,14","42.513888888888886","14.15388888888889"
"228","Moscufo","46","2","F765","42,25,45","14,3,20","42.42916666666667","14.055555555555557"
"229","Nocciano","46","2","F908","42,20,1","13,59,7","42.33361111111111","13.985277777777776"
"230","Penne","46","2","G438","42,27,27","13,55,38","42.4575","13.927222222222222"
"231","Pescara","46","2","G482","42,27,43","14,12,47","42.46194444444445","14.213055555555554"
"232","Pescosansonesco","46","2","G499","42,15,17","13,53,11","42.25472222222222","13.886388888888888"
"233","Pianella","46","2","G555","42,23,52","14,2,51","42.397777777777776","14.0475"
"234","Picciano","46","2","G589","42,28,32","13,59,31","42.47555555555556","13.991944444444444"
"235","Pietranico","46","2","G621","42,16,37","13,54,42","42.276944444444446","13.911666666666667"
"236","Popoli","46","2","D705","42,10,17","13,50,6","42.171388888888885","13.835"
"237","Roccamorice","46","2","H425","42,12,52","14,1,33","42.214444444444446","14.025833333333335"
"238","Rosciano","46","2","H562","42,19,20","14,2,38","42.32222222222222","14.043888888888889"
"239","Salle","46","2","E458","42,10,42","13,57,44","42.17833333333333","13.962222222222222"
"240","San Valentino In Abruzzo Citeriore","46","2","I376","42,14,5","13,59,13","42.234722222222224","13.986944444444443"
"241","Scafa","46","2","I482","42,16,7","14,0,11","42.26861111111111","14.003055555555555"
"242","Serramonacesca","46","2","I649","42,15,0","14,5,36","42.25","14.093333333333334"
"243","Spoltore","46","2","I922","42,27,23","14,8,6","42.45638888888889","14.135"
"244","Tocco Da Casauria","46","2","L186","42,12,53","13,54,49","42.21472222222223","13.913611111111111"
"245","Turrivalignani","46","2","L475","42,15,44","14,1,35","42.26222222222222","14.02638888888889"
"246","Vicoli","46","2","L846","42,20,35","13,53,56","42.34305555555556","13.898888888888889"
"247","Villa Celiera","46","2","L922","42,22,59","13,51,34","42.38305555555556","13.859444444444444"
"248","Alba Adriatica","47","2","A125","42,50,7","13,55,13","42.83527777777778","13.920277777777777"
"249","Ancarano","47","2","A270","42,50,21","13,44,34","42.83916666666667","13.742777777777777"
"250","Arsita","47","2","A445","42,30,13","13,47,4","42.50361111111111","13.784444444444444"
"251","Atri","47","2","A123","42,34,48","13,58,34","42.580000000000005","13.976111111111111"
"252","Basciano","47","2","A692","42,35,43","13,44,27","42.59527777777778","13.740833333333333"
"253","Bellante","47","2","A746","42,44,41","13,48,24","42.74472222222222","13.806666666666667"
"254","Bisenti","47","2","A885","42,31,46","13,48,12","42.529444444444444","13.803333333333335"
"255","Campli","47","2","B515","42,43,38","13,41,13","42.727222222222224","13.686944444444444"
"256","Canzano","47","2","B640","42,38,52","13,48,13","42.647777777777776","13.803611111111111"
"257","Castel Castagna","47","2","C040","42,32,37","13,43,3","42.54361111111111","13.7175"
"258","Castellalto","47","2","C128","42,40,42","13,49,8","42.67833333333333","13.818888888888889"
"259","Castelli","47","2","C169","42,29,24","13,42,43","42.49","13.711944444444443"
"260","Castiglione Messer Raimondo","47","2","C316","42,31,57","13,52,58","42.5325","13.882777777777779"
"261","Castilenti","47","2","C322","42,32,5","13,55,3","42.53472222222222","13.917499999999999"
"262","Cellino Attanasio","47","2","C449","42,35,13","13,51,34","42.58694444444445","13.859444444444444"
"263","Cermignano","47","2","C517","42,35,25","13,47,36","42.59027777777778","13.793333333333333"
"264","Civitella Del Tronto","47","2","C781","42,46,27","13,40,15","42.774166666666666","13.670833333333333"
"265","Colledara","47","2","C311","42,32,25","13,40,37","42.540277777777774","13.676944444444445"
"266","Colonnella","47","2","C901","42,52,25","13,52,3","42.87361111111111","13.8675"
"267","Controguerra","47","2","C972","42,51,26","13,49,15","42.85722222222223","13.820833333333333"
"268","Corropoli","47","2","D043","42,49,44","13,50,10","42.82888888888889","13.836111111111112"
"269","Cortino","47","2","D076","42,37,58","13,32,31","42.632777777777775","13.541944444444445"
"270","Crognaleto","47","2","D179","42,32,55","13,28,43","42.54861111111111","13.47861111111111"
"271","Fano Adriano","47","2","D489","42,33,11","13,32,20","42.55305555555555","13.53888888888889"
"272","Giulianova","47","2","E058","42,45,11","13,57,30","42.753055555555555","13.958333333333332"
"273","Martinsicuro","47","2","E989","42,53,12","13,54,56","42.88666666666666","13.915555555555557"
"274","Montefino","47","2","F500","42,32,44","13,53,7","42.54555555555555","13.885277777777777"
"275","Montorio Al Vomano","47","2","F690","42,35,5","13,37,42","42.584722222222226","13.628333333333334"
"276","Nereto","47","2","F870","42,49,18","13,49,5","42.82166666666667","13.818055555555555"
"277","Notaresco","47","2","F942","42,39,35","13,53,41","42.65972222222222","13.89472222222222"
"278","Pietracamela","47","2","G608","42,31,26","13,33,10","42.52388888888889","13.552777777777779"
"279","Pineto","47","2","B827","42,36,28","14,4,1","42.60777777777778","14.066944444444443"
"280","Rocca Santa Maria","47","2","H440","42,41,13","13,31,40","42.68694444444444","13.527777777777779"
"281","Roseto Degli Abruzzi","47","2","F585","42,40,42","14,0,51","42.67833333333333","14.014166666666666"
"282","Silvi","47","2","I741","42,33,42","14,6,31","42.56166666666666","14.108611111111111"
"283","Teramo","47","2","I330","42,39,30","13,42,26","42.65833333333333","13.70722222222222"
"284","Torano Nuovo","47","2","L207","42,49,28","13,46,42","42.824444444444445","13.778333333333334"
"285","Torricella Sicura","47","2","L295","42,39,28","13,39,21","42.657777777777774","13.655833333333334"
"286","Tortoreto","47","2","L307","42,48,17","13,54,52","42.80472222222222","13.914444444444445"
"287","Tossicia","47","2","L314","42,32,51","13,39,2","42.5475","13.650555555555556"
"288","Valle Castellana","47","2","L597","42,44,13","13,29,50","42.73694444444445","13.497222222222222"
"289","Accettura","27","3","A017","40,29,41","16,9,29","40.49472222222222","16.158055555555553"
"290","Aliano","27","3","A196","40,18,53","16,13,54","40.31472222222222","16.231666666666666"
"291","Bernalda","27","3","A801","40,24,27","16,41,15","40.4075","16.6875"
"292","Calciano","27","3","B391","40,35,24","16,11,37","40.59","16.19361111111111"
"293","Cirigliano","27","3","C723","40,23,41","16,10,20","40.39472222222222","16.172222222222224"
"294","Colobraro","27","3","C888","40,11,21","16,25,39","40.189166666666665","16.427500000000002"
"295","Craco","27","3","D128","40,22,43","16,26,28","40.37861111111111","16.441111111111113"
"296","Ferrandina","27","3","D547","40,29,43","16,27,20","40.49527777777778","16.455555555555556"
"297","Garaguso","27","3","D909","40,32,57","16,13,37","40.549166666666665","16.22694444444444"
"298","Gorgoglione","27","3","E093","40,23,40","16,8,46","40.394444444444446","16.14611111111111"
"299","Grassano","27","3","E147","40,38,5","16,16,46","40.63472222222222","16.279444444444444"
"300","Grottole","27","3","E213","40,36,9","16,23,4","40.6025","16.384444444444444"
"301","Irsina","27","3","E326","40,44,39","16,14,40","40.744166666666665","16.244444444444447"
"302","Matera","27","3","F052","40,39,57","16,36,32","40.66583333333333","16.60888888888889"
"303","Miglionico","27","3","F201","40,34,13","16,30,1","40.57027777777778","16.50027777777778"
"304","Montalbano Jonico","27","3","F399","40,17,34","16,33,50","40.29277777777778","16.56388888888889"
